Comment,topDesignator,bottomDesignator,Footprint,JLCPCB Part #,MFR Part #,Manufacturer,Description,Stock,Package,Datasheet
LMH6401IRMZR,"IC14,IC29",,LMH6401IRMZR,C2060538,LMH6401IRMZR,Texas Instruments,Single Channel 4.5GHz UQFN-16(3x3) Programmable / Variable Gain Amplifiers (PGA/VGA) ROHS,154,UQFN-16(3x3),https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2303012000_Texas-Instruments-LMH6401IRMZR_C2060538.pdf
DAC8562SDGSR,IC17,,SOP50P490X110-10N,C127965,DAC8562SDGSR,Texas Instruments,VSSOP-10-0.5mm Digital to Analog Converters (DAC) ROHS,664,VSSOP-10-0.5mm,https://www.lcsc.com/datasheet/lcsc_datasheet_1809291523_Texas-Instruments-DAC8562SDGSR_C127965.pdf
SN74AVC4T774PWR,"IC2,IC15,IC30",,SOP65P640X120-16N,C129363,SN74AVC4T774PWR,Texas Instruments,"1.1V~3.6V 1 4 1.1V~3.6V 380Mbps TSSOP-16 Translators, Level Shifters ROHS",6333,TSSOP-16,https://www.lcsc.com/datasheet/lcsc_datasheet_1811081942_Texas-Instruments-SN74AVC4T774PWR_C129363.pdf
ADC122S021CIMM_NOPB,IC3,,SOP65P490X110-8N,C206499,ADC122S021CIMM/NOPB,Texas Instruments,12 Bits 200kHz VSSOP-8-0.65mm Analog to Digital Converters (ADC) ROHS,385,VSSOP-8-0.65mm,https://www.lcsc.com/datasheet/lcsc_datasheet_1806121318_Texas-Instruments-ADC122S021CIMM-NOPB_C206499.pdf
TLV9102IPWR,"IC4,IC18,IC33",,SOP65P640X120-8N,C2058017,TLV9102IPWR,Texas Instruments,Dual channel 10pA 1.1MHz TSSOP-8 Operational Amplifier ROHS,19,TSSOP-8,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2303012230_Texas-Instruments-TLV9102IPWR_C2058017.pdf
EP4CE30F23C6N,IC5,,BGA484C100P22X22_2300X2300X240,C6549145,EP4CE30F23C7N,intel/altera,28848 1803 FBGA-484(23x23) Programmable Logic Device (CPLDs/FPGAs) ROHS,43,FBGA-484_23x23,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312051050_Intel-Altera-EP4CE30F23C7N_C6549145.pdf
EPCQ16ASI8N,IC6,,SOIC127P600X175-8N,C467192,EPCQ16ASI8N,intel/altera,SOIC-8 Programmable Logic Device (CPLDs/FPGAs) ROHS,239,SOIC-8,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Intel-Altera-EPCQ16ASI8N_C467192.pdf
TPS7A7200RGTR,"IC7,IC22,IC23,IC24,IC26,IC27,IC28",,QFN50P300X300X100-17N,C180439,TPS7A7200RGTR,Texas Instruments,"2A Adjustable 900mV~5V Positive electrode 6.5V VQFN-16-EP(3x3) Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",253,VQFN-16-EP(3x3),https://www.lcsc.com/datasheet/lcsc_datasheet_2303021230_Texas-Instruments-TPS7A7200RGTR_C180439.pdf
FT232HQ,IC8,,QFN48_8MM,C82158,FT232HQ-REEL,Ftdi,QFN-48-EP(8x8) USB Converters ROHS,1272,QFN-48-EP(8x8),https://www.lcsc.com/datasheet/lcsc_datasheet_2409300133_FTDI-FT232HQ-REEL_C82158.pdf
93LC56B,IC9,,SOT23-6,C190271,93LC56BT-I/OT,Microchip Tech,2Kbit SPI SOT-23-6 EEPROM ROHS,3992,SOT-23-6,https://www.lcsc.com/datasheet/lcsc_datasheet_2410311238_Microchip-Tech-93LC56BT-I-OT_C190271.pdf
G6K-2F-RF-T-TR03_DC5,"K1,K2,K3,K4,K5",,G6K2FRFTTR03DC5,C5644852,G6K-2F-RF-T-TR03-DC5,Omron Electronics,Two Sets of Conversion: 2C (DPDT-Conversion) 1A 5V Signal Relays ROHS,266,-,https://www.lcsc.com/datasheet/lcsc_datasheet_2410010202_Omron-Electronics-G6K-2F-RF-T-TR03-DC5_C5644852.pdf
TLP3475_TPF,"K7,K6",,TLP3475TPF,C2152213,"TLP3475(TP,F",Toshiba,"1 Form A(SPST-NO) 1.27V 50V 1Ω 300mA AC,DC VSON-4(1.5x2.5) Solid State Relays - MOS Output (PhotoMOS) ROHS",0,VSON-4(1.5x2.5),https://www.lcsc.com/datasheet/lcsc_datasheet_2411220132_TOSHIBA-TLP3475-TP-F_C2152213.pdf
10uH,"L1,L2,L9,L10,L11,L12,L13,L14",,CDRH125,C339970,YDRH105R-100M,Yjycoin,"4.45A 10uH ±20% SMD,10.1x10.1mm Power Inductors ROHS",1263,"SMD,10.1x10.1mm",https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YJYCOIN-YDRH105R-100M_C339970.pdf
6.8nH,"L16,L17",,RESC0402_N,C77110,LQG15HS6N8J02D,Murata Electronics,600mA 6.8nH ±5% 220mΩ 0402 Inductors (SMD) ROHS,149413,402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-LQG15HS6N8J02D_C77110.pdf
